oss doctor	doctor-warning-lifecycle.md	
doctor warning	doctor-warning-lifecycle.md	
doctor verdict	doctor-warning-lifecycle.md	
usable with gaps	doctor-warning-lifecycle.md	
clear the warnings	doctor-warning-lifecycle.md	
remove all warnings	doctor-warning-lifecycle.md	
subagent	jit-rules-and-subagents.md	
sub-agent	jit-rules-and-subagents.md	
spawned agent	jit-rules-and-subagents.md	
developer lane	jit-rules-and-subagents.md	
sub-manager	jit-rules-and-subagents.md	
jit rule	jit-rules-and-subagents.md	
hook injection	jit-rules-and-subagents.md	
oss-workspace launcher	launcher-path-reach.md	
launcher symlink	launcher-path-reach.md	
login shell path	launcher-path-reach.md	
dpt-plugins path	launcher-path-reach.md	
phase file	loop-document-structure.md	
manager spine	loop-document-structure.md	
byte budget	loop-document-structure.md	
document budget	loop-document-structure.md	
split a document	loop-document-structure.md	
loop prose	loop-document-structure.md	
ci slow	measuring-ci-cost.md	
slowest test	measuring-ci-cost.md	
durations	measuring-ci-cost.md	
test suite performance	measuring-ci-cost.md	
matrix reduction	measuring-ci-cost.md	
wall clock	measuring-ci-cost.md	
runner concurrency	measuring-ci-cost.md	
queue time	measuring-ci-cost.md	
flaky rerun	measuring-ci-cost.md	
claude plugin root	self-hosted-plugin-resolution.md	
plugin root	self-hosted-plugin-resolution.md	
pinned root	self-hosted-plugin-resolution.md	
resolved install	self-hosted-plugin-resolution.md	
report schema	self-hosted-plugin-resolution.md	
schema version	self-hosted-plugin-resolution.md	
checklist skew	self-hosted-plugin-resolution.md	
vendored	vendored-and-unwired.md	
vendoring	vendored-and-unwired.md	
unwired script	vendored-and-unwired.md	
unreferenced file	vendored-and-unwired.md	
copied script	vendored-and-unwired.md	
coverage gate	vendored-and-unwired.md	
worktree	worktree-writes-land-where-cwd-says.md	
lane worktree	worktree-writes-land-where-cwd-says.md	
cd prefix	worktree-writes-land-where-cwd-says.md	
sibling lane	worktree-writes-land-where-cwd-says.md	
main clone	worktree-writes-land-where-cwd-says.md	
